Date,Open,High,Low,Close,Volume,Company,Ticker
2023-12-08,195.8739504411803,198.53986243042826,194.09668529712067,197.65122985839844,15479122,Wipro,WIPRO.NS
2023-12-11,196.43521098667622,197.4641630392035,195.1490280575968,196.71583557128906,10084242,Wipro,WIPRO.NS
2023-12-12,196.76258759604735,200.13003943050035,196.5053424739456,197.46414184570312,11903364,Wipro,WIPRO.NS
2023-12-13,198.09553790796673,198.44631504812236,194.09668421945574,196.27149963378906,9696816,Wipro,WIPRO.NS
2023-12-14,198.0721619020769,203.91844767250421,197.95523618666837,203.1701202392578,24681376,Wipro,WIPRO.NS
2023-12-15,203.94182686776517,210.23243605865005,202.74919028125652,208.8527069091797,41567234,Wipro,WIPRO.NS
2023-12-18,208.59548235662461,212.1032539209176,206.72467085566834,208.2447052001953,20182072,Wipro,WIPRO.NS
2023-12-19,208.40840617248446,209.2268862124446,203.45075279009401,205.18125915527344,16064694,Wipro,WIPRO.NS
2023-12-20,206.72466963371417,210.23244117727268,200.80823115154396,202.02426147460938,26449942,Wipro,WIPRO.NS
2023-12-21,200.59775997132968,204.15230467132707,199.80267364876173,202.98304748535156,10663008,Wipro,WIPRO.NS
2023-12-22,203.59103077363974,218.089818117931,202.98302282007754,216.38270568847656,46080814,Wipro,WIPRO.NS
2023-12-26,212.33710725172563,222.53302431358006,209.6945888376961,219.86712646484375,54628644,Wipro,WIPRO.NS
2023-12-27,219.11880117987906,222.34594822522834,217.0609113446679,220.26467895507812,25262992,Wipro,WIPRO.NS
2023-12-28,221.0129777793264,223.28133947412243,218.72123665111164,219.5631103515625,16839956,Wipro,WIPRO.NS
2023-12-29,220.26466014964544,222.32254980916113,217.99629850101053,220.4283447265625,15961140,Wipro,WIPRO.NS
2024-01-01,221.2234645929253,226.13434488515725,219.02525532428155,223.1644287109375,20347278,Wipro,WIPRO.NS
2024-01-02,223.56197715396402,223.56197715396402,217.15444197396957,219.44619750976562,14282514,Wipro,WIPRO.NS
2024-01-03,216.9673615371041,216.9673615371041,212.80480879120466,213.22573852539062,19534364,Wipro,WIPRO.NS
2024-01-04,213.74021169242843,215.07316772719898,211.1210727645415,211.58877563476562,15170336,Wipro,WIPRO.NS
2024-01-05,212.82818309856526,216.54642658614375,212.10324936677364,213.55313110351562,16889130,Wipro,WIPRO.NS
2024-01-08,213.9740622782207,215.14331944913994,210.02196733125015,210.62998962402344,10082886,Wipro,WIPRO.NS
2024-01-09,214.2078925802915,216.31255528031622,210.44289057062142,210.81704711914062,14465048,Wipro,WIPRO.NS
2024-01-10,211.14445091302144,213.27249310646536,209.99857325614684,212.15000915527344,8874676,Wipro,WIPRO.NS
2024-01-11,212.78141435964142,213.69342634057182,208.92286590076546,209.62442016601562,8638818,Wipro,WIPRO.NS
2024-01-12,212.80479090230665,219.35263062237763,212.80479090230665,217.69229125976562,36086734,Wipro,WIPRO.NS
2024-01-15,239.44048361416074,247.41481162553117,228.7768498989195,231.32583618164062,127844264,Wipro,WIPRO.NS
2024-01-16,231.51292041896545,231.51292041896545,224.7312288107331,226.8358917236328,25912492,Wipro,WIPRO.NS
2024-01-17,222.22901203837677,229.8759566871802,220.7557508776176,225.61985778808594,28668932,Wipro,WIPRO.NS
2024-01-18,225.61986017192925,228.7067019485662,219.0720200343425,225.73678588867188,26144924,Wipro,WIPRO.NS
2024-01-19,228.23899734480392,230.7412105186871,226.18110760042512,226.85926818847656,15498620,Wipro,WIPRO.NS
2024-01-23,223.5853503488525,227.30359385889423,218.44061880060593,219.77357482910156,19972336,Wipro,WIPRO.NS
